epoch,loss,val_loss
0,386.77826638344004,368.7140945241467
1,383.7367822773436,366.34148874864206
2,381.5905880830227,365.02168575491055
3,380.10723593907477,364.1217115998271
4,379.10881281184334,363.6193963910141
5,378.4360590001457,363.19995965468695
6,377.80541875301265,362.78830170722875
7,377.3184145201985,362.5602440704811
8,376.93066821994944,362.3278221833878
9,376.5729344999688,362.1478918526726
10,376.27766487252,361.97483321755146
11,375.9980325841496,361.84239892409204
12,375.76419695462937,361.7481855862324
13,375.55350772213734,361.6510256340945
14,375.34969591116294,361.5732888885651
15,375.16393775491633,361.508034845074
16,374.9983200814989,361.4393932760908
17,374.8409171715761,361.38156981811426
18,374.69912349464545,361.32175135266937
19,374.57564474171045,361.2669831551308
20,374.4316450412457,361.23011717491124
21,374.30943609058346,361.1882637716956
22,374.1979299390418,361.1534990214002
23,374.08768713453895,361.12065576799415
24,373.98761640002584,361.0976577973259
25,373.8908745329604,361.08045649124887
26,373.8020659740155,361.053122137658
27,373.7135092238076,361.02585164454257
28,373.639110246479,361.00262541062756
29,373.55577575936275,360.9830885346856
30,373.4819387097644,360.96690710100165
31,373.40715303217246,360.9514872014901
32,373.3383316924429,360.93067882848896
33,373.2716470518683,360.91573070183074
34,373.20717606381476,360.9018261760853
35,373.1425658148578,360.89206647222034
36,373.0823925621489,360.8763207006449
37,373.0247776911809,360.8643301505614
38,372.96656810279586,360.84909142439807
39,372.9129498546959,360.83755276410994
