epoch,loss,val_loss
0,275.0846252441406,268.6056823730469
1,267.1361389160156,265.818359375
2,264.6907043457031,265.1332092285156
3,263.1769104003906,264.72491455078125
4,262.2341613769531,264.32391357421875
5,261.54510498046875,262.63232421875
6,260.92596435546875,265.62457275390625
7,260.6426086425781,262.11669921875
8,259.9547119140625,262.5311584472656
9,259.6589660644531,262.24298095703125
10,259.39141845703125,261.91986083984375
11,259.1724548339844,261.8588562011719
12,258.81085205078125,261.9833984375
13,258.73004150390625,261.9151611328125
14,258.47210693359375,262.0198669433594
15,258.3895568847656,261.6033935546875
16,258.22137451171875,261.3895568847656
17,258.0663146972656,261.5309753417969
18,258.01483154296875,261.39544677734375
19,257.8548889160156,261.26220703125
20,257.8338928222656,261.34368896484375
21,257.7503967285156,261.435791015625
22,257.6692199707031,261.2828369140625
23,257.5418701171875,261.3430480957031
24,257.4926452636719,261.3649597167969
25,257.4360656738281,261.2052307128906
26,257.3370056152344,261.15716552734375
27,257.30267333984375,261.3526306152344
28,257.2262878417969,261.2931213378906
29,257.2238464355469,261.4186096191406
30,257.2308044433594,261.2498779296875
31,257.1312255859375,261.17169189453125
32,257.01275634765625,261.20355224609375
33,256.94488525390625,261.2127380371094
34,256.90972900390625,261.00799560546875
35,256.8983154296875,261.11663818359375
36,256.8344421386719,261.1168518066406
37,256.8221435546875,261.2466735839844
38,256.7361145019531,261.3951416015625
39,256.7471008300781,261.1206359863281
40,256.6697998046875,261.30914306640625
41,256.72271728515625,261.021484375
42,256.6544189453125,261.1917724609375
43,256.6463928222656,261.11474609375
44,256.6089172363281,261.2389221191406
45,256.6758117675781,261.0689697265625
46,256.57916259765625,261.15777587890625
47,256.5553283691406,261.3852844238281
48,256.59979248046875,261.0547790527344
49,256.5100402832031,261.1874084472656
50,256.51788330078125,261.0413818359375
51,256.48419189453125,261.0240173339844
52,256.46575927734375,261.102294921875
53,256.47137451171875,261.08544921875
54,256.50030517578125,261.05255126953125
55,256.44488525390625,261.03155517578125
56,256.39752197265625,261.1481018066406
57,256.41265869140625,261.0116882324219
58,256.39208984375,261.03411865234375
59,256.36224365234375,261.24822998046875
60,256.39056396484375,261.0679931640625
61,256.3603515625,261.2435302734375
62,256.38555908203125,261.0157165527344
63,256.3362121582031,261.0450744628906
64,256.32830810546875,261.0451965332031
65,256.33477783203125,261.00225830078125
66,256.3130798339844,261.00146484375
67,256.2934265136719,261.1493225097656
68,256.3292541503906,261.0570373535156
69,256.3096618652344,261.035888671875
70,256.2250061035156,261.1907958984375
71,256.2789001464844,261.036376953125
72,256.21722412109375,261.0200500488281
73,256.2815246582031,261.0473327636719
74,256.2518615722656,261.06939697265625
75,256.2337341308594,261.0714416503906
76,256.23309326171875,261.01580810546875
77,256.2113342285156,261.0579528808594
78,256.20196533203125,261.15997314453125
79,256.23516845703125,261.0030212402344
80,256.1972351074219,261.07525634765625
81,256.1683654785156,261.0396728515625
82,256.2013854980469,261.02008056640625
83,256.16119384765625,261.0579528808594
84,256.1683349609375,261.0184631347656
85,256.1397399902344,261.1622009277344
86,256.17291259765625,261.0187683105469
87,256.1405944824219,261.0849914550781
88,256.1335144042969,261.0215759277344
89,256.1340637207031,261.06793212890625
90,256.1313781738281,261.10223388671875
91,256.127685546875,261.1162414550781
92,256.1131591796875,261.18634033203125
93,256.1587219238281,261.0672912597656
94,256.12451171875,261.11224365234375
95,256.10638427734375,261.0932312011719
96,256.09967041015625,261.1103820800781
97,256.087890625,261.09869384765625
98,256.08978271484375,261.06549072265625
99,256.0691833496094,261.10626220703125
100,256.0779724121094,261.0767822265625
101,256.1120910644531,261.1044616699219
102,256.0717468261719,261.0732727050781
103,256.0187072753906,261.09075927734375
104,256.0724792480469,261.124267578125
